name,number,status
PEP Purpose and Guidelines,1,Active
Style Guide for Python Code,8,Active
Voting Guidelines,10,Active
Bug Fix Releases,6,Active
Sample reStructuredText PEP Template,12,Active
Style Guide for C Code,7,Active
Sample Plaintext PEP Template,9,Withdrawn
CPython platform support,11,Active
Guidelines for Language Evolution,5,Active
Guidelines for Handling Bug Reports,3,Withdrawn
Procedure for Adding New Modules,2,Active
Deprecation of Standard Modules,4,Active
List Comprehensions,202,Final
Lockstep Iteration,201,Final
Augmented Assignments,203,Final
Add a “while” clause to generator expressions,3142,Rejected
Supporting NonASCII Identifiers,3131,Final
futures  execute computations asynchronously,3148,Final
Python 2.0 Release Schedule,200,Final
2023 Term Steering Council election,8104,Active
Removing dead batteries from the standard library,594,Final
2020 Term Steering Council election,8101,Final
2022 Term Steering Council election,8103,Final
2021 Term Steering Council election,8102,Final
January 2019 Steering Council election,8100,Final
The Community Governance Model,8012,Rejected
The Steering Council Model,8016,Accepted
The External Council Governance Model,8013,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Organization of the Python community,8015,Rejected
The Technical Leader Governance Model,8010,Rejected
Reworking the OS and IO exception hierarchy,3151,Final
Open Source Governance Survey,8002,Final
Asynchronous IO support,3153,Superseded
Qualified name for classes and functions,3155,Final
Python Web Server Gateway Interface v1.0.1,3333,Final
Cofunctions,3152,Rejected
Asynchronous IO Support Rebooted: the “asyncio” Module,3156,Final
ABI version tagged .so files,3149,Final
Pickle protocol version 4,3154,Final
Statement local namespaces (aka “given” clause),3150,Deferred
Merging Unladen Swallow into CPython,3146,Withdrawn
Python Language Governance Proposal Overview,8000,Final
PYC Repository Directories,3147,Final
Standard daemon process library,3143,Deferred
A Type Hierarchy for Numbers,3141,Final
Cleaning out sys and the “interpreter” module,3139,Rejected
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
"str(container) should call str(item), not repr(item)",3140,Rejected
Immutable Bytes and Mutable Buffer,3137,Final
String representation in Python 3000,3138,Final
Labeled break and continue,3136,Rejected
Extended Iterable Unpacking,3132,Final
Access to Current Module/Class/Function,3130,Rejected
Introducing Roles,3133,Rejected
BList: A Faster Listlike Type,3128,Rejected
Class Decorators,3129,Final
Exception Chaining and Embedded Tracebacks,3134,Final
New Super,3135,Final
Integer Literal Support and Syntax,3127,Final
Remove Implicit String Concatenation,3126,Rejected
Remove Backslash Continuation,3125,Rejected
Delineation of the main module,3122,Rejected
Making PyObject_HEAD conform to standard C,3123,Final
Using UTF8 as the default source encoding,3120,Final
Extension Module Initialization and Finalization,3121,Final
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,Deferred
The Commons Governance Model,8014,Rejected
Introducing Abstract Base Classes,3119,Final
Postfix type declarations,3117,Rejected
New I/O,3116,Final
Python Governance Voting Process,8001,Final
Metaclasses in Python 3000,3115,Final
Revising the buffer protocol,3118,Final
Removal of Tuple Parameter Unpacking,3113,Final
Bytes literals in Python 3000,3112,Final
Raising Exceptions in Python 3000,3109,Final
Function Annotations,3107,Final
"Revamping dict.keys(), .values() and .items()",3106,Final
Catching Exceptions in Python 3000,3110,Final
Standard Library Reorganization,3108,Final
Make print a function,3105,Final
Access to Names in Outer Scopes,3104,Final
Renaming iterator.next() to iterator.__next__(),3114,Final
A Switch/Case Statement,3103,Rejected
KeywordOnly Arguments,3102,Final
Simple input builtin in Python 3000,3111,Final
IP Address Manipulation Library for the Python Standard Library,3144,Final
Things that will Not Change in Python 3000,3099,Final
Miscellaneous Python 3.0 Plans,3100,Final
Procedure for BackwardsIncompatible Changes,3002,Final
Procedure for reviewing and improving standard library modules,3001,Withdrawn
Advanced String Formatting,3101,Final
Python 3000,3000,Final
IEEE 754 Floating Point Special Values,754,Rejected
The Python Documentation Editorial Board,732,Draft
C API Working Group Charter,731,Draft
Reserved,801,Active
Documentation in Annotated Metadata,727,Draft
Module ,726,Draft
Typing governance process,729,Draft
Stricter Type Guards,724,Draft
Using tarfile.data_filter for source distribution extraction,721,Final
Specifying external dependencies in pyproject.toml,725,Draft
Python Language Moratorium,3003,Final
Adding iOS as a supported platform,730,Draft
Python 3.13 Release Schedule,719,Active
Subscriptable functions,718,Draft
Dependency specification for singlefile scripts,722,Rejected
Embedding pyproject.toml in singlefile scripts,723,Draft
Disabling bdist_egg distribution uploads on PyPI,715,Final
Adding a “converter” parameter to dataclasses.field,712,Draft
PyBI: a standard format for distributing Python Binaries,711,Draft
Recording the provenance of installed packages,710,Draft
Crosscompiling Python packages,720,Draft
Inlined comprehensions,709,Accepted
Extending the Repository API to Mitigate Dependency Confusion Attacks,708,Provisional
Filter for tarfile.extractall,706,Final
A simplified signature for __exit__ and __aexit__,707,Rejected
Callable Modules,713,Rejected
Rename distinfometadata in the Simple API,714,Accepted
TypedDict: Readonly and other keys,705,Draft
Marking deprecations using the type system,702,Draft
Syntactic formalization of fstrings,701,Accepted
Remove private dict version field added in PEP 509,699,Accepted
Limited C API for Extending Opaque Types,697,Final
Additional Fields for the Simple API for Package Indexes,700,Accepted
Python 3.12 Release Schedule,693,Active
Require virtual environments by default for package installers,704,Withdrawn
Type Parameter Syntax,695,Accepted
Override Decorator for Static Typing,698,Accepted
Type defaults for TypeVarLikes,696,Draft
Upload 2.0 API for Python Package Repositories,694,Draft
JSONbased Simple API for Python Package Indexes,691,Accepted
Make UTF8 mode default,686,Accepted
Isolating modules in the standard library,687,Accepted
Using TypedDict for more precise **kwargs typing,692,Accepted
Making the buffer protocol accessible in Python,688,Accepted
Comparison of extra names for optional distribution dependencies,685,Accepted
Unstable C API tier,689,Final
Lazy Imports,690,Rejected
"Immortal Objects, Using a Fixed Refcount",683,Accepted
Allow parentheses in assert statements,679,Draft
tomllib: Support for Parsing TOML in the Standard Library,680,Final
A PerInterpreter GIL,684,Accepted
Format Specifier for Signed Zero,682,Final
PEP Infrastructure Process,676,Active
Making the Global Interpreter Lock Optional in CPython,703,Draft
Arbitrary Literal String Type,675,Accepted
Data Class Transforms,681,Accepted
Enriching Exceptions with Notes,678,Final
Callable Type Syntax,677,Rejected
Unicoderelated Security Considerations for Python,672,Active
Disallow using macros as lvalues,674,Deferred
Convert macros to functions in the Python C API,670,Final
Reject Foolish Indentation,666,Rejected
Python 3.11 Release Schedule,664,Active
Consistent views of namespaces,667,Draft
Low Impact Monitoring for CPython,669,Accepted
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
Editable installs via virtual wheels,662,Rejected
Specializing Adaptive Interpreter,659,Draft
Syntax for latebound function argument defaults,671,Draft
A file format to list Python dependencies for reproducibility of an application,665,Rejected
Editable installs for pyproject.toml based builds (wheel based),660,Final
Serve Distribution Metadata in the Simple Repository API,658,Accepted
Self Type,673,Accepted
Sentinel Values,661,Draft
Marking Python base environments as “externally managed”,668,Accepted
Include Fine Grained Error Locations in Tracebacks,657,Final
Platform Tag for Linux Distributions Using Musl,656,Final
Marking individual TypedDict items as required or potentiallymissing,655,Accepted
Precise Semantics for Pattern Matching,653,Draft
Robust Stack Overflow Handling,651,Rejected
Maintaining the Stable ABI,652,Final
Allow writing optional types as ,645,Withdrawn
UserDefined Type Guards,647,Accepted
Require OpenSSL 1.1.1 or newer,644,Final
Extensible customizations of the interpreter at startup,648,Rejected
Variadic Generics,646,Accepted
Exception Groups and except*,654,Final
Metadata for Package Source Distributions,643,Final
Specifying Installer Requirements for Python Projects,650,Withdrawn
Deferred Evaluation Of Annotations Using Descriptors,649,Accepted
Unused variable syntax,640,Rejected
Support for indexing with keyword arguments,637,Rejected
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Structural Pattern Matching: Specification,634,Accepted
Improving License Clarity with Better Package Metadata,639,Draft
Deprecate distutils module,632,Final
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Structural Pattern Matching: Motivation and Rationale,635,Final
Structural Pattern Matching: Tutorial,636,Final
Versioning PyPI’s Simple API,629,Final
Syntactic Macros,638,Draft
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Isolating Extension Modules,630,Final
Add ,628,Final
Precise line numbers for debugging and other tools.,626,Final
